country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Central African Republic,190000,,,,,211000,,,,,239000,,,,,269000,,,,,302000,,,,,338000,,,,,386000,,,,,450000,,,,,502000,,,,,550000,,,,,612000,,,,,672000,,,,,713000,,,,,728000,,,,,741000,,,,,810000,,,,,879000,,,,,922000,,,,,938000,,,,,946000,,,,,959000,,,,,975000,,,,,988000,,,,,991000,,,,,985000,,,,,972000,,,,,958000,,,,,946000,,,,,934000,,,,,919000,,,,,900000
Chad,376000,,,,,462000,,,,,509000,,,,,562000,,,,,629000,,,,,749000,,,,,856000,,,,,985000,,,,,1180000,,,,,1410000,,,,,1680000,,,,,2010000,,,,,2290000,,,,,2600000,,,,,2890000,,,,,3180000,,,,,3440000,,,,,3670000,,,,,3880000,,,,,4060000,,,,,4220000,,,,,4360000,,,,,4490000,,,,,4590000,,,,,4670000,,,,,4710000,,,,,4740000,,,,,4750000,,,,,4730000,,,,,4690000,,,,,4640000
Chile,875000,,,,,1060000,,,,,1170000,,,,,1260000,,,,,1320000,,,,,1270000,,,,,1240000,,,,,1320000,,,,,1430000,,,,,1400000,,,,,1320000,,,,,1250000,,,,,1240000,,,,,1200000,,,,,1180000,,,,,1160000,,,,,1130000,,,,,1090000,,,,,1060000,,,,,1040000,,,,,1020000,,,,,1000000,,,,,980000,,,,,960000,,,,,938000,,,,,922000,,,,,906000,,,,,891000,,,,,877000,,,,,861000,,,,,846000
China,76500000,,,,,103000000,,,,,95900000,,,,,115000000,,,,,135000000,,,,,126000000,,,,,101000000,,,,,106000000,,,,,133000000,,,,,103000000,,,,,81800000,,,,,79300000,,,,,82600000,,,,,85900000,,,,,80800000,,,,,73300000,,,,,68000000,,,,,65300000,,,,,64500000,,,,,64100000,,,,,62400000,,,,,59500000,,,,,56500000,,,,,54500000,,,,,53500000,,,,,52800000,,,,,51800000,,,,,50300000,,,,,48600000,,,,,47100000,,,,,46000000
Colombia,2210000,,,,,2670000,,,,,3050000,,,,,3510000,,,,,3830000,,,,,3660000,,,,,3990000,,,,,4280000,,,,,4340000,,,,,4350000,,,,,4150000,,,,,4110000,,,,,3930000,,,,,3740000,,,,,3580000,,,,,3400000,,,,,3250000,,,,,3110000,,,,,2990000,,,,,2880000,,,,,2770000,,,,,2670000,,,,,2580000,,,,,2490000,,,,,2420000,,,,,2350000,,,,,2280000,,,,,2210000,,,,,2150000,,,,,2090000,,,,,2040000
Comoros,22800,,,,,29000,,,,,33700,,,,,37000,,,,,40600,,,,,45400,,,,,55400,,,,,66100,,,,,75100,,,,,81800,,,,,88800,,,,,96700,,,,,107000,,,,,117000,,,,,124000,,,,,129000,,,,,134000,,,,,139000,,,,,145000,,,,,149000,,,,,152000,,,,,154000,,,,,156000,,,,,157000,,,,,157000,,,,,157000,,,,,156000,,,,,154000,,,,,151000,,,,,149000,,,,,146000
"Congo, Dem. Rep.",2170000,,,,,2340000,,,,,2680000,,,,,3100000,,,,,3600000,,,,,4140000,,,,,4780000,,,,,5460000,,,,,6350000,,,,,7690000,,,,,8660000,,,,,10200000,,,,,12100000,,,,,14100000,,,,,15800000,,,,,17500000,,,,,19300000,,,,,21000000,,,,,22500000,,,,,23700000,,,,,24700000,,,,,25600000,,,,,26200000,,,,,26800000,,,,,27100000,,,,,27200000,,,,,27200000,,,,,26900000,,,,,26700000,,,,,26300000,,,,,25900000
"Congo, Rep.",132000,,,,,151000,,,,,174000,,,,,205000,,,,,241000,,,,,285000,,,,,330000,,,,,366000,,,,,403000,,,,,451000,,,,,527000,,,,,615000,,,,,730000,,,,,814000,,,,,859000,,,,,933000,,,,,1030000,,,,,1140000,,,,,1240000,,,,,1310000,,,,,1380000,,,,,1450000,,,,,1530000,,,,,1600000,,,,,1660000,,,,,1700000,,,,,1740000,,,,,1770000,,,,,1800000,,,,,1820000,,,,,1830000
Costa Rica,175000,,,,,192000,,,,,244000,,,,,286000,,,,,290000,,,,,277000,,,,,320000,,,,,369000,,,,,400000,,,,,406000,,,,,394000,,,,,361000,,,,,361000,,,,,350000,,,,,341000,,,,,326000,,,,,313000,,,,,302000,,,,,292000,,,,,285000,,,,,278000,,,,,271000,,,,,263000,,,,,256000,,,,,250000,,,,,245000,,,,,240000,,,,,235000,,,,,230000,,,,,225000,,,,,220000
Cote d'Ivoire,453000,,,,,551000,,,,,670000,,,,,828000,,,,,1020000,,,,,1290000,,,,,1620000,,,,,1910000,,,,,2190000,,,,,2520000,,,,,2880000,,,,,3110000,,,,,3370000,,,,,3760000,,,,,4190000,,,,,4580000,,,,,4960000,,,,,5360000,,,,,5770000,,,,,6170000,,,,,6550000,,,,,6900000,,,,,7260000,,,,,7580000,,,,,7880000,,,,,8130000,,,,,8360000,,,,,8550000,,,,,8710000,,,,,8800000,,,,,8860000
